model,trace_id,pre_rate,post_rate,n_pre,n_post
deepseek-r1-distill-llama-8b,e1105a80f2c790b5afea5dab375853f4204fab766eaa79c385e9910525597802,0.4482758620689655,0.4444444444444444,29,9
deepseek-r1-distill-llama-8b,e2e79daa3ec7908fe38d7fb3750c9a0554c59cf5751deda16de2c4c3eb76779a,0.4375,0.55,16,20
deepseek-r1-distill-llama-8b,e632189d7b879d3d220a527231232b1b52efdfc102e86c778d6d3c1b47ee02ac,0.2857142857142857,0.25,7,8
deepseek-r1-distill-llama-8b,e87b24d60bb54f824fd8dd8adcbe07435c7ed21afe2521b4e1c3a5957096e8be,0.625,0.4375,8,16
deepseek-r1-distill-llama-8b,ec038bb7dc7b3f626e2be0cf8bcf1b12e831ac80b477192a7f5fa24d88ede1fe,0.2962962962962963,0.5714285714285714,27,7
deepseek-r1-distill-llama-8b,ef42c89919623370c46e906a93fac3ef84a7a26e6be1bb64f0873a8a648450f0,0.5,0.8,18,5
deepseek-r1-distill-llama-8b,ef5ebd82fe7e6662c27a6553ab9939e8411f0d2bd04019bc2b4493e864f70c4a,0.35714285714285715,0.6666666666666666,14,9
deepseek-r1-distill-llama-8b,f4a5415d549a2fbf75d21cd84415ce7251794d52acbc3b2f7b9460d2d41428a0,0.5384615384615384,0.375,13,8
deepseek-r1-distill-llama-8b,fc04cad9b3dbe91536a7dc5c98e26ba419e94b9bc14c8b293f512ec518137796,0.34782608695652173,0.2,23,10
deepseek-r1-distill-llama-8b,ff791900a72b98081acae2642b6544235c19a514e2cc26383b070cdf327e15df,0.8125,0.7647058823529411,16,17
deepseek-r1-distill-qwen-1.5b,053f492ef95eba4fc89f47b95a883783c9aeeab946c9bd04eb4685b5d09ebc33,0.5714285714285714,0.75,7,8
deepseek-r1-distill-qwen-1.5b,06589cbbc7e515388053919cbc34e2b7414194ef1b9a2bc429636685408db942,0.2857142857142857,0.2222222222222222,14,9
deepseek-r1-distill-qwen-1.5b,102f8d05b06ca9ede8725f2977c52d0f9c9e9b2504a6d32720dc2cb138cbf604,0.6,0.8,20,5
deepseek-r1-distill-qwen-1.5b,10440d64944cb4b04259fa0866f5c39f13c14a3ec68e800226d14ecf0fb3dd8c,0.4,0.8,5,10
deepseek-r1-distill-qwen-1.5b,11a3865fb7b261a7c7a89f6a645dfbee956d6b4cbefaa5e29533bec4cba5d0a3,0.6,0.625,10,8
deepseek-r1-distill-qwen-1.5b,11c066c073d2a398f8c97f9b5f6059dde06da9e45a9bde10296a1e283f7efdd9,0.08333333333333333,0.14285714285714285,12,7
deepseek-r1-distill-qwen-1.5b,12fedf0ff9e4e18b250c0db7c5e9cec2257362ba9e046247e38e561f75f7961a,0.5,0.625,10,8
deepseek-r1-distill-qwen-1.5b,15dfa87102e8e2c566ed0f9603d7a0448011278af872bc95254c01a6ef10d486,0.6363636363636364,0.8,11,5
deepseek-r1-distill-qwen-1.5b,1a648b3fe9445d60c7fd32dd4b32008c16acaed350ad9ebf125ae7701d333413,0.25,0.18181818181818182,12,11
deepseek-r1-distill-qwen-1.5b,1b94cd7d03c0f60171c43f5651471cb97879b520734b2a14a09af2fda8d8a0ea,0.09090909090909091,0.4,11,5
