model,case_id,trace_id,base_is_correct,n_sentences,n_boundaries,vocabulary_size,converge_boundary_tvd,converge_token_frac_tvd,tvd_max_first,tvd_max_at_convergence,tvd_median_first
deepseek-r1-distill-qwen-1.5b,5355d6e5738c1e76aa8f1441131c9295,9c4b8585eb1a3e58cfbd5285546deeea5ba0f8f6b0c1bc17e842e86e3a28d184,False,13,14,70,12,0.9014598540145985,0.8473684210526319,0.04248366013071894,0.7368421052631579
deepseek-r1-distill-qwen-1.5b,5bebb5ccb1b21ef642e37fb57088d0af,8f64fca2cf5c4ac5610e5efa873ff50be1ad5e8453ef0052a5973e275969ca83,True,15,16,61,5,0.27627627627627627,0.9500000000000002,0.11111111111111113,0.9500000000000002
deepseek-r1-distill-qwen-1.5b,5e08bb89aa461993e01a5790857ce599,d39dbc976a37c1cc929ceb464ffe096ac96e7f821672131f1d3065408c5651bb,True,23,24,62,23,1.0,0.9473684210526314,0.0,0.6973684210526316
deepseek-r1-distill-qwen-1.5b,5e08bb89aa461993e01a5790857ce599,f90c6ddd05c7bec55c0048de18b12c115b295e269c754627c523bbcde02abf6b,False,16,17,69,16,1.0,0.9473684210526314,0.0,0.6894736842105262
deepseek-r1-distill-qwen-1.5b,5e7abd32af948047598121dd03ac97b6,c75dab1440466cbfd2f4df3e06b9d06eb4be56fa42797e33cf1e899847a733e3,True,11,12,41,6,0.5387596899224806,0.95,0.11764705882352942,0.95
deepseek-r1-distill-qwen-1.5b,5e7abd32af948047598121dd03ac97b6,ef1568a38594caea52218ca557af1ada3a0be52ddc8e21b01a5e99e71fa79fa7,False,14,15,76,14,1.0,1.0,0.0,0.7520897832817337
deepseek-r1-distill-qwen-1.5b,61f7d8bcb43d0bd0621b066d85eb2529,5c0790417a9692e88a1327d8d8c06cdc22271ad904a85d79fbe23f8a4403c24f,True,23,24,50,19,0.7764932562620424,1.0,0.0625,0.260233918128655
deepseek-r1-distill-qwen-1.5b,61f7d8bcb43d0bd0621b066d85eb2529,5feafad827a5de546de591df851e957241791850875304c5dcc33cf4ea9098c2,False,21,22,60,17,0.7147826086956521,0.5500000000000002,0.16666666666666663,0.2222222222222222
deepseek-r1-distill-qwen-1.5b,633420a679153f203fc61a88a953629e,eac4c27d808a8d57672ecb9b96fe1b298a37455510c9de6cca9aa84c0a521c7e,True,16,17,80,14,0.8670360110803325,1.0,0.15000000000000002,0.6750000000000003
deepseek-r1-distill-qwen-1.5b,633420a679153f203fc61a88a953629e,c5e1b4f25ae439208c2ff872b68a0d9fe4cdc4cbfc80cd240d145fc3445ac498,False,17,18,61,16,0.9119804400977995,0.8500000000000003,0.09473684210526315,0.8000000000000002
deepseek-r1-distill-qwen-1.5b,69e678eb784186f4820bb4b3d48b33b9,4f6e228c4b44ce7820221aff7d111cd2311e9958fa6ec5a855e97879f1503e3b,True,11,12,9,9,0.8023715415019763,0.65,0.17105263157894735,0.3236842105263158
deepseek-r1-distill-qwen-1.5b,69e678eb784186f4820bb4b3d48b33b9,efb22ecc031bbfcd3613e83aa8b0dc82135a8cabcc8758b24543b51da13d5282,False,24,25,12,12,0.4726166328600406,0.75,0.16052631578947368,0.5657894736842105
deepseek-r1-distill-qwen-1.5b,6a6759f19289095fe5bdee59a062046c,8a7bd474250d0ae19560f48257af2c25690caaa22894d03e1adfdb15325e0d27,True,17,18,52,12,0.6967213114754098,1.0000000000000002,0.050000000000000024,0.9500000000000002
deepseek-r1-distill-qwen-1.5b,6a6759f19289095fe5bdee59a062046c,ac554413195b08c38277d604e55a620b496124926af7d88b54e5e237c732429c,False,18,19,79,14,0.7593457943925234,0.8000000000000002,0.050000000000000024,0.6500000000000001
deepseek-r1-distill-qwen-1.5b,6c4cccbdfe3340d1de38720b444b4e83,7ea1194b6b49037ced36f2bcf6e39dd03816b86c59d04d419a4efb2ead7f6861,True,23,24,124,23,1.0,1.0,0.0,0.736842105263158
deepseek-r1-distill-qwen-1.5b,6c4cccbdfe3340d1de38720b444b4e83,2996679bdd2724e69512be7cb86dc0c749c70c7196afec636907817d2d0c35f7,False,14,15,89,13,0.9171974522292994,1.0,0.09444444444444444,0.6500000000000001
deepseek-r1-distill-qwen-1.5b,6cae95de019b8b107893b29e2418ab4a,76ffdc7f3ec2f1690267fd6db564c6d1f6111a9476a9144929020b15d9de6312,False,13,14,49,13,1.0,0.838888888888889,0.0,0.7339181286549706
deepseek-r1-distill-qwen-1.5b,711f389c59ebfcb9eb04d37c86efae77,4bc7d104b031d6e0fa3e6037285d54572acfe64fbeaa5a9799f0fd71cd3ac16b,True,17,18,56,15,0.8419811320754716,0.9999999999999999,0.15000000000000002,0.7
deepseek-r1-distill-qwen-1.5b,711f389c59ebfcb9eb04d37c86efae77,1b94cd7d03c0f60171c43f5651471cb97879b520734b2a14a09af2fda8d8a0ea,False,16,17,41,11,0.6885245901639344,0.8421052631578947,0.09999999999999999,0.543421052631579
deepseek-r1-distill-qwen-1.5b,715eb949cafa36ccc69ff816a68a68bd,fe6a59f2cce8e873c80c017f8e147c8d3ee8636b8fba74af4b23ff057002d57d,True,18,19,100,15,0.8786516853932584,0.8500000000000003,0.15000000000000002,0.7222222222222223
deepseek-r1-distill-qwen-1.5b,715eb949cafa36ccc69ff816a68a68bd,b89538da70fda4fb97928198bf1f289047e7f2f9504eb1af97cd66c15e9a6d94,False,26,27,71,24,0.9149722735674677,1.0,0.15000000000000002,0.8333333333333335
deepseek-r1-distill-qwen-1.5b,719442a3ee1c00332a6b77c30ce987cd,76885d845832e8197a82668cb6478561b10628c238344606a2b9610f2aaec830,False,22,23,66,18,0.7830342577487766,1.0,0.0,0.6986842105263158
deepseek-r1-distill-qwen-1.5b,7351fe5f8ee14ff826bc262030efc469,7eecde4d2031061c2b7dfb7ffee2ba5f798445559758353fa77ac09045950f86,True,14,15,75,9,0.6794582392776524,0.9500000000000002,0.052631578947368446,0.8250000000000003
deepseek-r1-distill-qwen-1.5b,7351fe5f8ee14ff826bc262030efc469,de8a30ea5842d30a4104ff37dd18c6e9cf12a4887a1bde4980653b96a2a7d76f,False,20,21,63,19,0.9430379746835443,1.0,0.15000000000000002,0.7000000000000002
deepseek-r1-distill-qwen-1.5b,7d75815cb2310bdcf17826679b94cee2,4c6be318f5e532ab7b0807565fa6b69e50181939ce499de89ab907eaa3966f00,True,16,17,59,15,0.9399477806788512,0.723529411764706,0.1286549707602339,0.5743034055727554
deepseek-r1-distill-qwen-1.5b,839d5849b985de3b732f197086218847,c71a7caefdd036eabb8056c1d42bd4194c31360e0436bc434cd8543161ac7f94,True,16,17,50,16,1.0,1.0,0.0,0.6523026315789474
deepseek-r1-distill-qwen-1.5b,839d5849b985de3b732f197086218847,06589cbbc7e515388053919cbc34e2b7414194ef1b9a2bc429636685408db942,False,23,24,43,14,0.5587044534412956,0.9500000000000002,0.19473684210526318,0.9500000000000002
deepseek-r1-distill-qwen-1.5b,855d2426bc87f84b919fa59d39097374,b862139dff3b7cfa33bc18bf996b92cc055c10b5a2505a95862ffb78c88ad7c1,True,13,14,73,12,0.9626865671641791,0.9999999999999998,0.0,0.8421052631578944
deepseek-r1-distill-qwen-1.5b,855d2426bc87f84b919fa59d39097374,9fd55c340a83feea263efe1a6ffab188e5c06f3103f75dfc3700563d4eb297a8,False,17,18,47,14,0.8477011494252874,0.9000000000000002,0.19999999999999998,0.9000000000000001
deepseek-r1-distill-qwen-1.5b,85684e0c092976faa0b788ef96b0a1ff,4caec528381fd2f051aa9a0fa3127f59ad6d3bccf33b6f2ad881631fb7827d8c,True,25,26,114,22,0.8801128349788434,0.9999999999999998,0.0,0.6473684210526315
deepseek-r1-distill-qwen-1.5b,85684e0c092976faa0b788ef96b0a1ff,0cf3d005dc73bae6ce33a1d3c5a3278f37c20b509cb8871504d53e8626d7f769,False,22,23,48,18,0.7916666666666666,1.0,0.19999999999999996,0.9486842105263158
deepseek-r1-distill-qwen-1.5b,8b5ae4c8982f0b55e7334ff4117d6a4f,d8a348bedc1ff6ee91cb22af14f03ba5aa435fc8ec229ca9e534ec0dfb960ba9,True,20,21,99,14,0.691566265060241,1.0,0.052631578947368446,0.7500000000000002
deepseek-r1-distill-qwen-1.5b,8b5ae4c8982f0b55e7334ff4117d6a4f,f97ff0ef7fcf7904b95cb77a6d681139aa36f15d26bd1381ead422926815a93b,False,14,15,79,10,0.7162629757785467,1.0000000000000002,0.0,0.8750000000000003
deepseek-r1-distill-qwen-1.5b,8c88e2f998f2ec7a396f40c6d5452b84,919a2131ce4b20bc235cc195b45d7349c42bb49c364f2db894eaeafb5f963506,True,20,21,131,19,0.967391304347826,1.0,0.09999999999999998,0.7995248538011694
