model,case_id,trace_id,base_is_correct,n_sentences,delta,commits,commit_boundary,depth,tvd_at_commit,n_distinct,top_share,second_share,top_two_share,n_over_10pct,effective_n
deepseek-r1-distill-qwen-1.5b,0a50a7f439c2c0e933b8132ed7650075,9e81d999ae819b1ffb1d10d749cc1e31a5ef82615f96197d78f256d47a917d2b,False,13,0.15,1,11,0.8052805280528053,0.09999999999999999,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,0a50a7f439c2c0e933b8132ed7650075,9e81d999ae819b1ffb1d10d749cc1e31a5ef82615f96197d78f256d47a917d2b,False,13,0.2,1,11,0.8052805280528053,0.09999999999999999,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,0a50a7f439c2c0e933b8132ed7650075,9e81d999ae819b1ffb1d10d749cc1e31a5ef82615f96197d78f256d47a917d2b,False,13,0.25,1,11,0.8052805280528053,0.09999999999999999,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,0a50a7f439c2c0e933b8132ed7650075,9e81d999ae819b1ffb1d10d749cc1e31a5ef82615f96197d78f256d47a917d2b,False,13,0.3,1,11,0.8052805280528053,0.09999999999999999,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,0a50a7f439c2c0e933b8132ed7650075,9e81d999ae819b1ffb1d10d749cc1e31a5ef82615f96197d78f256d47a917d2b,False,13,0.35,1,11,0.8052805280528053,0.09999999999999999,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,0a50a7f439c2c0e933b8132ed7650075,9e81d999ae819b1ffb1d10d749cc1e31a5ef82615f96197d78f256d47a917d2b,False,13,0.4,1,11,0.8052805280528053,0.09999999999999999,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,0a50a7f439c2c0e933b8132ed7650075,9e81d999ae819b1ffb1d10d749cc1e31a5ef82615f96197d78f256d47a917d2b,False,13,0.45,1,11,0.8052805280528053,0.09999999999999999,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,0a50a7f439c2c0e933b8132ed7650075,9e81d999ae819b1ffb1d10d749cc1e31a5ef82615f96197d78f256d47a917d2b,False,13,0.5,1,11,0.8052805280528053,0.09999999999999999,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,0d460432dbaf1d4aa85f066f1a649e9d1a4b6220b49461d7e210ca0c678e24e5,True,24,0.05,1,23,0.9660714285714286,0.0,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,0d460432dbaf1d4aa85f066f1a649e9d1a4b6220b49461d7e210ca0c678e24e5,True,24,0.1,1,23,0.9660714285714286,0.0,1,1.0,0.0,1.0,1,1.0
